taxon_id,name,genus,species
4932,S288C,Saccharomyces,cerevisiae
285006,RM11,Saccharomyces,cerevisiae
307796,YJM789,Saccharomyces,cerevisiae
226125,Spar,Saccharomyces,paradoxus
9606,human,Homo,sapiens
9598,chimp,Pan,troglodytes
9595,gorilla,Gorilla,gorilla
9601,orangutan,Pongo,abelii
61853,gibbon,Nomascus,leucogenys
9544,rhesus,Macaca,mulatta
3702,Ath,Arabidopsis,thaliana
59689,lyrata,Arabidopsis,lyrata
10090,mouse,Mus,musculus
10116,rat,Rattus,norvegicus
39946,9311,Oryza,sativa
39947,Nip,Oryza,sativa
9555,baboon,Papio,anubis
9483,marmoset,Callithrix,jacchus
9478,tarsier,Tarsius,syrichta
30608,lemur,Microcebus,murinus
30611,bushbaby,Otolemur,garnettii
7227,Dmel,Drosophila,melanogaster
7234,Dper,Drosophila,persimilis
7237,Dpse,Drosophila,pseudoobscura
7238,Dsec,Drosophila,sechellia
7240,Dsim,Drosophila,simulans
7245,Dyak,Drosophila,yakuba
6238,Cbri,Caenorhabditis,briggsae
6239,Cele,Caenorhabditis,elegans